标题,里程,日期,地区,会员,原价,现价,过户情况
宝马2系 2015款 218i 敞篷轿跑车,6万公里,2016-03,嘉兴,3年黄金会员,14.80,35.31万,0次过户
宝马M2 2018款 M2 雷霆版,0.8万公里,2021-01,金华,3年黄金会员,53.80,68.80万,0次过户-原厂质保
宝马X5(进口) 2014款 xDrive35i 典雅型,12万公里,2014-11,嘉兴,6年黄金会员,29.98,90.96万,0次过户
宝马M2 2018款 M2,4万公里,2018-10,金华,3年黄金会员,35.80,65.11万,无
宝马3系 2018款 320Li 时尚型,2万公里,2017-12,宁波,1年黄金会员,16.98,35.15万,0次过户
宝马3系 2017款 330Li M运动型,7万公里,2017-05,杭州,4年黄金会员,19.50,46.77万,0次过户
宝马X1 2021款 sDrive25Li 领先型,2万公里,2021-05,温州,1年黄金会员,21.50,33.63万,准新车-0次过户
宝马3系(进口) 2011款 320i双门轿跑车,8万公里,2012-02,温州,7年黄金会员,9.98,53.30万,无
宝马X3 2021款 xDrive28i M运动套装,3万公里,2021-02,温州,1年黄金会员,33.68,46.22万,准新车-0次过户
宝马5系 2021款 改款 525Li 豪华套装,3万公里,2021-01,温州,1年黄金会员,34.80,45.80万,0次过户-原厂质保
宝马5系 2018款 525Li 豪华套装,4.2万公里,2019-01,杭州,1年黄金会员,30.88,47.42万,0次过户
宝马7系 2021款 730Li M运动套装,2.1万公里,2021-09,台州,3年黄金会员,64.80,89.88万,无
宝马5系GT 2013款 535i 领先型,15万公里,2013-08,温州,1年黄金会员,18.20,96.72万,无
宝马X5(进口) 2019款 xDrive40i M运动套装,7万公里,2019-05,杭州,3年黄金会员,58.80,82.48万,无
宝马X3 2022款 改款 xDrive30i 尊享型 M曜夜套装,0.5万公里,2021-10,台州,3年黄金会员,40.80,52.08万,无
宝马3系 2021款 320Li M运动套装,1.3万公里,2021-08,宁波,1年黄金会员,25.70,34.62万,无
宝马3系 2018款 320Li 领先型M运动套装,4.6万公里,2018-01,温州,1年黄金会员,14.50,37.97万,无
宝马Z4 2019款 sDrive 25i M运动曜夜套装,1.5万公里,2021-02,嘉兴,6年黄金会员,41.98,55.23万,准新车-0次过户
宝马X3 2021款 xDrive25i 豪华套装,5.4万公里,2021-01,杭州,1年黄金会员,31.68,42.31万,0次过户-原厂质保
宝马7系 2016款 740Li 领先型,14万公里,2016-06,杭州,1年黄金会员,39.80,128.95万,无
宝马3系 2007款 325i 豪华运动型,12万公里,2007-12,宁波,1年黄金会员,3.00,52.21万,0次过户
宝马3系 2007款 325i 豪华运动型,13.8万公里,2007-01,宁波,1年黄金会员,3.00,52.21万,0次过户
宝马4系 2017款 425i Gran Coupe 领先型M运动套装,6万公里,2019-03,嘉兴,3年黄金会员,23.80,39.06万,0次过户
宝马2系 2018款 M240i,8万公里,2018-04,杭州,4年黄金会员,28.80,48.82万,0次过户
宝马3系 2016款 316Li 时尚型,6万公里,2016-06,温州,2年会员,13.80,33.63万,无
宝马2系 2015款 220i 敞篷轿跑车 M运动型,5.2万公里,2015-05,丽水,1年黄金会员,16.80,46.57万,无
宝马3系(进口) 2010款 320i豪华型,13万公里,2010-07,宁波,3年黄金会员,4.38,40.71万,0次过户
宝马3系 2017款 320Li M运动型,8.6万公里,2017-06,宁波,1年黄金会员,15.98,38.41万,0次过户
宝马7系 2004款 730Li,21万公里,2005-07,宁波,1年黄金会员,3.18,94.44万,0次过户
宝马5系 2018款 528Li 上市特别版,12.5万公里,2018-01,杭州,2年黄金会员,27.50,48.84万,无
宝马4系 2021款 430i M运动曜夜版,2.5万公里,2021-01,杭州,2年黄金会员,45.80,49.91万,无
宝马3系(进口) 2006款 320i典雅型,15万公里,2006-08,宁波,1年黄金会员,3.00,32.46万,0次过户
宝马3系(进口) 2005款 330i,15万公里,2008-09,宁波,1年黄金会员,4.50,62.96万,0次过户
宝马8系 2021款 840i 双门轿跑车 M运动套装,0.15万公里,2021-09,绍兴,1年黄金会员,92.00,118.53万,准新车-4S店直卖
宝马iX3 2022款 领先型,0.2万公里,2021-10,绍兴,1年黄金会员,31.00,43.41万,准新车-4S店直卖
宝马4系 2021款 改款 425i 敞篷M运动曜夜版,0.23万公里,2021-10,绍兴,1年黄金会员,49.00,54.14万,准新车-4S店直卖
宝马X7 2021款 xDrive40i 尊享型M运动套装,0.3万公里,2021-06,绍兴,1年黄金会员,96.00,120.27万,准新车-4S店直卖
宝马3系 2020款 320i 运动套装,3万公里,2020-09,绍兴,1年黄金会员,23.00,31.90万,4S店直卖-0次过户
宝马2系 2021款 225i 四门轿跑车 M运动套装,0.78万公里,2021-09,杭州,3年黄金会员,21.58,29.29万,准新车-0次过户
宝马8系 2021款 840i xDrive 四门轿跑车 M运动套装,0.17万公里,2021-09,杭州,3年黄金会员,91.98,116.36万,准新车-0次过户
宝马iX3 2022款 领先型,0.33万公里,2021-10,杭州,3年黄金会员,31.98,43.41万,准新车-0次过户
宝马7系 2019款 改款 M760Li xDrive V12 运动套装,0.07万公里,2021-09,杭州,3年黄金会员,198.80,263.55万,准新车-0次过户
宝马4系 2014款 420i 敞篷时尚型,5.66万公里,2016-05,台州,7年钻石会员,22.80,61.87万,无
宝马3系 2005款 320i 领先型,12万公里,2006-06,宁波,1年黄金会员,3.00,40.11万,0次过户
宝马X3 2022款 xDrive30i 领先型 M曜夜套装,0.6万公里,2021-09,台州,3年黄金会员,37.50,47.41万,无
宝马1系 2021款 120i M运动版,3.1万公里,2021-02,金华,2年黄金会员,12.50,22.12万,准新车-0次过户
宝马6系GT 2019款 630i M运动套装,6万公里,2019-01,杭州,2年黄金会员,41.70,67.72万,无
宝马5系 2011款 523Li 豪华型,9万公里,2011-04,温州,1年黄金会员,9.50,53.14万,0次过户
宝马6系GT 2019款 630i M运动套装,5.3万公里,2019-07,台州,3年黄金会员,42.80,67.72万,无
宝马3系 2004款 325i,18万公里,2004-06,宁波,1年黄金会员,2.00,44.29万,0次过户
宝马3系(进口) 2007款 325i双门轿跑车,18万公里,2007-07,宁波,1年黄金会员,5.00,61.00万,0次过户
宝马3系 2017款 320i M运动型,8万公里,2016-11,宁波,1年黄金会员,14.80,34.74万,无
宝马3系 2021款 320Li M运动套装,6万公里,2021-04,金华,5年黄金会员,25.80,34.62万,无
宝马1系 2017款 118i 运动型,7万公里,2017-06,金华,5年黄金会员,9.28,24.94万,无
宝马5系新能源 2020款 里程升级版 530Le 豪华套装,6.7万公里,2020-07,杭州,2年黄金会员,29.98,54.26万,无
宝马5系 2021款 530Li 领先型 豪华套装,1.8万公里,2021-05,嘉兴,6年黄金会员,39.98,50.68万,准新车-0次过户
宝马2系 2015款 218i 敞篷轿跑车,6万公里,2016-03,嘉兴,3年黄金会员,14.80,35.31万,0次过户
宝马M2 2018款 M2 雷霆版,0.8万公里,2021-01,金华,3年黄金会员,53.80,68.80万,0次过户-原厂质保
宝马X5(进口) 2014款 xDrive35i 典雅型,12万公里,2014-11,嘉兴,6年黄金会员,29.98,90.96万,0次过户
宝马M2 2018款 M2,4万公里,2018-10,金华,3年黄金会员,35.80,65.11万,无
宝马3系 2018款 320Li 时尚型,2万公里,2017-12,宁波,1年黄金会员,16.98,35.15万,0次过户
宝马3系 2017款 330Li M运动型,7万公里,2017-05,杭州,4年黄金会员,19.50,46.77万,0次过户
宝马X1 2021款 sDrive25Li 领先型,2万公里,2021-05,温州,1年黄金会员,21.50,33.63万,准新车-0次过户
宝马3系(进口) 2011款 320i双门轿跑车,8万公里,2012-02,温州,7年黄金会员,9.98,53.30万,无
宝马X3 2021款 xDrive28i M运动套装,3万公里,2021-02,温州,1年黄金会员,33.68,46.22万,准新车-0次过户
宝马5系 2021款 改款 525Li 豪华套装,3万公里,2021-01,温州,1年黄金会员,34.80,45.80万,0次过户-原厂质保
宝马5系 2018款 525Li 豪华套装,4.2万公里,2019-01,杭州,1年黄金会员,30.88,47.42万,0次过户
宝马7系 2021款 730Li M运动套装,2.1万公里,2021-09,台州,3年黄金会员,64.80,89.88万,无
宝马5系GT 2013款 535i 领先型,15万公里,2013-08,温州,1年黄金会员,18.20,96.72万,无
宝马X5(进口) 2019款 xDrive40i M运动套装,7万公里,2019-05,杭州,3年黄金会员,58.80,82.48万,无
宝马X3 2022款 改款 xDrive30i 尊享型 M曜夜套装,0.5万公里,2021-10,台州,3年黄金会员,40.80,52.08万,无
宝马3系 2021款 320Li M运动套装,1.3万公里,2021-08,宁波,1年黄金会员,25.70,34.62万,无
宝马3系 2018款 320Li 领先型M运动套装,4.6万公里,2018-01,温州,1年黄金会员,14.50,37.97万,无
宝马Z4 2019款 sDrive 25i M运动曜夜套装,1.5万公里,2021-02,嘉兴,6年黄金会员,41.98,55.23万,准新车-0次过户
宝马X3 2021款 xDrive25i 豪华套装,5.4万公里,2021-01,杭州,1年黄金会员,31.68,42.31万,0次过户-原厂质保
宝马7系 2016款 740Li 领先型,14万公里,2016-06,杭州,1年黄金会员,39.80,128.95万,无
宝马3系 2007款 325i 豪华运动型,12万公里,2007-12,宁波,1年黄金会员,3.00,52.21万,0次过户
宝马3系 2007款 325i 豪华运动型,13.8万公里,2007-01,宁波,1年黄金会员,3.00,52.21万,0次过户
宝马4系 2017款 425i Gran Coupe 领先型M运动套装,6万公里,2019-03,嘉兴,3年黄金会员,23.80,39.06万,0次过户
宝马2系 2018款 M240i,8万公里,2018-04,杭州,4年黄金会员,28.80,48.82万,0次过户
宝马3系 2016款 316Li 时尚型,6万公里,2016-06,温州,2年会员,13.80,33.63万,无
宝马2系 2015款 220i 敞篷轿跑车 M运动型,5.2万公里,2015-05,丽水,1年黄金会员,16.80,46.57万,无
宝马3系(进口) 2010款 320i豪华型,13万公里,2010-07,宁波,3年黄金会员,4.38,40.71万,0次过户
宝马3系 2017款 320Li M运动型,8.6万公里,2017-06,宁波,1年黄金会员,15.98,38.41万,0次过户
宝马7系 2004款 730Li,21万公里,2005-07,宁波,1年黄金会员,3.18,94.44万,0次过户
宝马5系 2018款 528Li 上市特别版,12.5万公里,2018-01,杭州,2年黄金会员,27.50,48.84万,无
宝马4系 2021款 430i M运动曜夜版,2.5万公里,2021-01,杭州,2年黄金会员,45.80,49.91万,无
宝马3系(进口) 2006款 320i典雅型,15万公里,2006-08,宁波,1年黄金会员,3.00,32.46万,0次过户
宝马3系(进口) 2005款 330i,15万公里,2008-09,宁波,1年黄金会员,4.50,62.96万,0次过户
宝马8系 2021款 840i 双门轿跑车 M运动套装,0.15万公里,2021-09,绍兴,1年黄金会员,92.00,118.53万,准新车-4S店直卖
宝马iX3 2022款 领先型,0.2万公里,2021-10,绍兴,1年黄金会员,31.00,43.41万,准新车-4S店直卖
宝马4系 2021款 改款 425i 敞篷M运动曜夜版,0.23万公里,2021-10,绍兴,1年黄金会员,49.00,54.14万,准新车-4S店直卖
宝马X7 2021款 xDrive40i 尊享型M运动套装,0.3万公里,2021-06,绍兴,1年黄金会员,96.00,120.27万,准新车-4S店直卖
宝马3系 2020款 320i 运动套装,3万公里,2020-09,绍兴,1年黄金会员,23.00,31.90万,4S店直卖-0次过户
宝马2系 2021款 225i 四门轿跑车 M运动套装,0.78万公里,2021-09,杭州,3年黄金会员,21.58,29.29万,准新车-0次过户
宝马8系 2021款 840i xDrive 四门轿跑车 M运动套装,0.17万公里,2021-09,杭州,3年黄金会员,91.98,116.36万,准新车-0次过户
宝马iX3 2022款 领先型,0.33万公里,2021-10,杭州,3年黄金会员,31.98,43.41万,准新车-0次过户
宝马7系 2019款 改款 M760Li xDrive V12 运动套装,0.07万公里,2021-09,杭州,3年黄金会员,198.80,263.55万,准新车-0次过户
宝马4系 2014款 420i 敞篷时尚型,5.66万公里,2016-05,台州,7年钻石会员,22.80,61.87万,无
宝马3系 2005款 320i 领先型,12万公里,2006-06,宁波,1年黄金会员,3.00,40.11万,0次过户
宝马X3 2022款 xDrive30i 领先型 M曜夜套装,0.6万公里,2021-09,台州,3年黄金会员,37.50,47.41万,无
宝马1系 2021款 120i M运动版,3.1万公里,2021-02,金华,2年黄金会员,12.50,22.12万,准新车-0次过户
宝马6系GT 2019款 630i M运动套装,6万公里,2019-01,杭州,2年黄金会员,41.70,67.72万,无
宝马5系 2011款 523Li 豪华型,9万公里,2011-04,温州,1年黄金会员,9.50,53.14万,0次过户
宝马6系GT 2019款 630i M运动套装,5.3万公里,2019-07,台州,3年黄金会员,42.80,67.72万,无
宝马3系 2004款 325i,18万公里,2004-06,宁波,1年黄金会员,2.00,44.29万,0次过户
宝马3系(进口) 2007款 325i双门轿跑车,18万公里,2007-07,宁波,1年黄金会员,5.00,61.00万,0次过户
宝马3系 2017款 320i M运动型,8万公里,2016-11,宁波,1年黄金会员,14.80,34.74万,无
宝马3系 2021款 320Li M运动套装,6万公里,2021-04,金华,5年黄金会员,25.80,34.62万,无
宝马1系 2017款 118i 运动型,7万公里,2017-06,金华,5年黄金会员,9.28,24.94万,无
宝马5系新能源 2020款 里程升级版 530Le 豪华套装,6.7万公里,2020-07,杭州,2年黄金会员,29.98,54.26万,无
宝马5系 2021款 530Li 领先型 豪华套装,1.8万公里,2021-05,嘉兴,6年黄金会员,39.98,50.68万,准新车-0次过户
宝马2系 2015款 218i 敞篷轿跑车,6万公里,2016-03,嘉兴,3年黄金会员,14.80,35.31万,0次过户
宝马M2 2018款 M2 雷霆版,0.8万公里,2021-01,金华,3年黄金会员,53.80,68.80万,0次过户-原厂质保
宝马X5(进口) 2014款 xDrive35i 典雅型,12万公里,2014-11,嘉兴,6年黄金会员,29.98,90.96万,0次过户
宝马M2 2018款 M2,4万公里,2018-10,金华,3年黄金会员,35.80,65.11万,无
宝马3系 2018款 320Li 时尚型,2万公里,2017-12,宁波,1年黄金会员,16.98,35.15万,0次过户
宝马3系 2017款 330Li M运动型,7万公里,2017-05,杭州,4年黄金会员,19.50,46.77万,0次过户
宝马X1 2021款 sDrive25Li 领先型,2万公里,2021-05,温州,1年黄金会员,21.50,33.63万,准新车-0次过户
宝马3系(进口) 2011款 320i双门轿跑车,8万公里,2012-02,温州,7年黄金会员,9.98,53.30万,无
宝马X3 2021款 xDrive28i M运动套装,3万公里,2021-02,温州,1年黄金会员,33.68,46.22万,准新车-0次过户
宝马5系 2021款 改款 525Li 豪华套装,3万公里,2021-01,温州,1年黄金会员,34.80,45.80万,0次过户-原厂质保
宝马5系 2018款 525Li 豪华套装,4.2万公里,2019-01,杭州,1年黄金会员,30.88,47.42万,0次过户
宝马7系 2021款 730Li M运动套装,2.1万公里,2021-09,台州,3年黄金会员,64.80,89.88万,无
宝马5系GT 2013款 535i 领先型,15万公里,2013-08,温州,1年黄金会员,18.20,96.72万,无
宝马X5(进口) 2019款 xDrive40i M运动套装,7万公里,2019-05,杭州,3年黄金会员,58.80,82.48万,无
宝马X3 2022款 改款 xDrive30i 尊享型 M曜夜套装,0.5万公里,2021-10,台州,3年黄金会员,40.80,52.08万,无
宝马3系 2021款 320Li M运动套装,1.3万公里,2021-08,宁波,1年黄金会员,25.70,34.62万,无
宝马3系 2018款 320Li 领先型M运动套装,4.6万公里,2018-01,温州,1年黄金会员,14.50,37.97万,无
宝马Z4 2019款 sDrive 25i M运动曜夜套装,1.5万公里,2021-02,嘉兴,6年黄金会员,41.98,55.23万,准新车-0次过户
宝马X3 2021款 xDrive25i 豪华套装,5.4万公里,2021-01,杭州,1年黄金会员,31.68,42.31万,0次过户-原厂质保
宝马7系 2016款 740Li 领先型,14万公里,2016-06,杭州,1年黄金会员,39.80,128.95万,无
宝马3系 2007款 325i 豪华运动型,12万公里,2007-12,宁波,1年黄金会员,3.00,52.21万,0次过户
宝马3系 2007款 325i 豪华运动型,13.8万公里,2007-01,宁波,1年黄金会员,3.00,52.21万,0次过户
宝马4系 2017款 425i Gran Coupe 领先型M运动套装,6万公里,2019-03,嘉兴,3年黄金会员,23.80,39.06万,0次过户
宝马2系 2018款 M240i,8万公里,2018-04,杭州,4年黄金会员,28.80,48.82万,0次过户
宝马3系 2016款 316Li 时尚型,6万公里,2016-06,温州,2年会员,13.80,33.63万,无
宝马2系 2015款 220i 敞篷轿跑车 M运动型,5.2万公里,2015-05,丽水,1年黄金会员,16.80,46.57万,无
宝马3系(进口) 2010款 320i豪华型,13万公里,2010-07,宁波,3年黄金会员,4.38,40.71万,0次过户
宝马3系 2017款 320Li M运动型,8.6万公里,2017-06,宁波,1年黄金会员,15.98,38.41万,0次过户
宝马7系 2004款 730Li,21万公里,2005-07,宁波,1年黄金会员,3.18,94.44万,0次过户
宝马5系 2018款 528Li 上市特别版,12.5万公里,2018-01,杭州,2年黄金会员,27.50,48.84万,无
宝马4系 2021款 430i M运动曜夜版,2.5万公里,2021-01,杭州,2年黄金会员,45.80,49.91万,无
宝马3系(进口) 2006款 320i典雅型,15万公里,2006-08,宁波,1年黄金会员,3.00,32.46万,0次过户
宝马3系(进口) 2005款 330i,15万公里,2008-09,宁波,1年黄金会员,4.50,62.96万,0次过户
宝马8系 2021款 840i 双门轿跑车 M运动套装,0.15万公里,2021-09,绍兴,1年黄金会员,92.00,118.53万,准新车-4S店直卖
宝马iX3 2022款 领先型,0.2万公里,2021-10,绍兴,1年黄金会员,31.00,43.41万,准新车-4S店直卖
宝马4系 2021款 改款 425i 敞篷M运动曜夜版,0.23万公里,2021-10,绍兴,1年黄金会员,49.00,54.14万,准新车-4S店直卖
宝马X7 2021款 xDrive40i 尊享型M运动套装,0.3万公里,2021-06,绍兴,1年黄金会员,96.00,120.27万,准新车-4S店直卖
宝马3系 2020款 320i 运动套装,3万公里,2020-09,绍兴,1年黄金会员,23.00,31.90万,4S店直卖-0次过户
宝马2系 2021款 225i 四门轿跑车 M运动套装,0.78万公里,2021-09,杭州,3年黄金会员,21.58,29.29万,准新车-0次过户
宝马8系 2021款 840i xDrive 四门轿跑车 M运动套装,0.17万公里,2021-09,杭州,3年黄金会员,91.98,116.36万,准新车-0次过户
宝马iX3 2022款 领先型,0.33万公里,2021-10,杭州,3年黄金会员,31.98,43.41万,准新车-0次过户
宝马7系 2019款 改款 M760Li xDrive V12 运动套装,0.07万公里,2021-09,杭州,3年黄金会员,198.80,263.55万,准新车-0次过户
宝马4系 2014款 420i 敞篷时尚型,5.66万公里,2016-05,台州,7年钻石会员,22.80,61.87万,无
宝马3系 2005款 320i 领先型,12万公里,2006-06,宁波,1年黄金会员,3.00,40.11万,0次过户
宝马X3 2022款 xDrive30i 领先型 M曜夜套装,0.6万公里,2021-09,台州,3年黄金会员,37.50,47.41万,无
宝马1系 2021款 120i M运动版,3.1万公里,2021-02,金华,2年黄金会员,12.50,22.12万,准新车-0次过户
宝马6系GT 2019款 630i M运动套装,6万公里,2019-01,杭州,2年黄金会员,41.70,67.72万,无
宝马5系 2011款 523Li 豪华型,9万公里,2011-04,温州,1年黄金会员,9.50,53.14万,0次过户
宝马6系GT 2019款 630i M运动套装,5.3万公里,2019-07,台州,3年黄金会员,42.80,67.72万,无
宝马3系 2004款 325i,18万公里,2004-06,宁波,1年黄金会员,2.00,44.29万,0次过户
宝马3系(进口) 2007款 325i双门轿跑车,18万公里,2007-07,宁波,1年黄金会员,5.00,61.00万,0次过户
宝马3系 2017款 320i M运动型,8万公里,2016-11,宁波,1年黄金会员,14.80,34.74万,无
宝马3系 2021款 320Li M运动套装,6万公里,2021-04,金华,5年黄金会员,25.80,34.62万,无
